Depth (m),qc (MPa),fs (kPa),Rf (%),u2 (kPa),gamma (kN/m3),M (MN/m2),OCR (-),su (kPa),sampling_name(-)
1.96,0.14933333333333335,7.111111111111111,4.761904761904762,82.22222222222223,16.15,,,12.3,Ballina_Inclo 2
2.27,0.176,7,3.977272727272727,101.44444444444444,15.8,1.303,2.1821428571428574,,Ballina_Inclo 2
2.3699999999999997,0.17022222222222222,7,4.1122715404699735,104.33333333333333,15.4,,,17.2,Ballina_Inclo 2
2.4700000000000006,0.15433333333333335,10.777777777777779,6.983441324694025,96.55555555555556,15.4,,2.213903743315508,,Ballina_Inclo 2
2.5700000000000003,0.1981111111111111,9.888888889,4.991587212563096,62.44444444444444,15.4,,,13.3,Ballina_Inclo 2
2.91,0.15844444444444447,7.555555555555555,4.768583450210378,102.44444444444444,15.049999999999999,,,13.7,Ballina_Inclo 2
3.05,0.17255555555555555,7.444444444444445,4.314230521571153,117.88888888888889,14.81,,,14.8,Ballina_Inclo 2
3.1399999999999997,0.18655555555555556,7.111111111111111,3.8117927337701007,126,14.830000000000002,1.1400000000000001,1.772020725388601,,Ballina_Inclo 2
3.4699999999999998,0.19544444444444445,12.666666666666666,6.4809550881182485,112.66666666666667,14.43,,,11.7,Ballina_Inclo 2
3.6499999999999995,0.22344444444444445,9.222222222222221,4.127299850820487,92.88888888888889,,1.657,1.860128617363344,,Ballina_Inclo 2
4.759999999999999,0.22355555555555556,7,3.1312127236580514,140.66666666666666,14.559999999999999,,,17.7,Ballina_Inclo 2
4.89,0.2197777777777778,7.555555555555555,3.4378159757330633,150,14.11,2.5500000000000003,4.123595505617978,,Ballina_Inclo 2
4.93,0.22711111111111115,7.555555555555555,3.3268101761252438,156.11111111111111,,1.415,,,Ballina_Inclo 2
4.96,0.22866666666666666,7.222222222222222,3.15840622,154.88888888888889,14,,,21.8,Ballina_Inclo 2
5.4,0.22644444444444448,8,3.5328753680078506,175.11111111111111,14.48,,,18.8,Ballina_Inclo 2
5.489999999999999,0.23144444444444445,12.777777777777779,5.5208833413346134,160.33333333333334,14.48,1.655,1.7721893491124259,,Ballina_Inclo 2
5.58,0.24788888888888888,9.333333333333334,3.7651277454056475,121.11111111111111,14.59,,,20.9,Ballina_Inclo 2
6.529999999999999,0.24911111111111112,11.555555555555555,4.638715433,167.77777777777777,14.01,,,22.8,Ballina_Inclo 2
6.63,0.25899999999999995,8.888888889,3.432003432003433,181,13.979999999999999,1.477,1.661304347826087,,Ballina_Inclo 2
6.7299999999999995,0.25655555555555554,8,3.118233001299264,189.88888888888889,14.01,,,19.7,Ballina_Inclo 2
6.83,0.25855555555555554,8,3.0941125913192957,201.33333333333334,14.059999999999999,1.332,1.5488069414316703,,Ballina_Inclo 2
7.220000000000001,0.26611111111111113,8,3.006263048016701,223,14.05,1.334,1.5995065789473684,,Ballina_Inclo 2
